,e68,dx,dy,r,m1,m2
125,0.23134652,0.58079207,-0.07140291,0.5851648,1.5454042,0.35976517
126,-0.07216429,-0.07455167,1.1704036,1.1727755,1.5454042,1.6425202
127,0.0051522944,-0.77351505,1.041447,1.2972808,1.5454042,0.56675494
128,-0.2355203,0.049102664,1.4969873,1.4977925,0.35976517,2.6446233
129,-0.22407593,-0.58079207,0.07140291,0.5851648,0.35976517,1.5454042
130,-0.03922452,-0.6553438,1.2418065,1.4041221,0.35976517,1.6425202
131,0.1533196,-1.3543072,1.11285,1.7528784,0.35976517,0.56675494
132,0.17493819,0.70444643,0.25518078,0.749241,1.6425202,2.6446233
133,0.07338152,0.07455167,-1.1704036,1.1727755,1.6425202,1.5454042
134,0.047497213,0.6553438,-1.2418065,1.4041221,1.6425202,0.35976517
135,-0.19704488,-0.6989634,-0.12895656,0.7107599,1.6425202,0.56675494
136,-0.33196047,1.4034097,0.38413733,1.4550327,0.56675494,2.6446233
137,-0.004657614,0.77351505,-1.041447,1.2972808,0.56675494,1.5454042
138,-0.14544731,1.3543072,-1.11285,1.7528784,0.56675494,0.35976517
139,0.1919961,0.6989634,0.12895656,0.7107599,0.56675494,1.6425202
140,0.042907953,-0.9881735,-0.36864042,1.0546955,2.664156,0.7641744
141,-0.11002196,-0.8147955,-0.02341795,0.81513196,2.664156,0.58858967
142,0.08688122,-1.0884953,0.8004017,1.3510977,2.664156,0.96150064
143,0.4616477,-2.2713969,1.6058278,2.7817128,2.664156,14.05433
144,-0.04873901,0.9881735,0.36864042,1.0546955,0.7641744,2.664156
145,0.40821847,0.17337799,0.34522247,0.38631397,0.7641744,0.58858967
146,-0.07076576,-0.10032177,1.1690421,1.1733388,0.7641744,0.96150064
147,-0.039158657,-1.2832234,1.9744682,2.3548222,0.7641744,14.05433
148,0.11145095,0.8147955,0.02341795,0.81513196,0.58858967,2.664156
149,-0.40667406,-0.17337799,-0.34522247,0.38631397,0.58858967,0.7641744
150,0.026811242,-0.27369976,0.82381964,0.8680958,0.58858967,0.96150064
151,0.108461834,-1.4566014,1.6292458,2.1854358,0.58858967,14.05433
152,-0.08224441,1.0884953,-0.8004017,1.3510977,0.96150064,2.664156
153,0.071661875,0.10032177,-1.1690421,1.1733388,0.96150064,0.7641744
154,-0.029356688,0.27369976,-0.82381964,0.8680958,0.96150064,0.58858967
155,0.11696844,-1.1829016,0.8054261,1.4310721,0.96150064,14.05433
156,-0.41864792,2.2713969,-1.6058278,2.7817128,14.05433,2.664156
157,0.0016521513,1.2832234,-1.9744682,2.3548222,14.05433,0.7641744
158,-0.11337467,1.4566014,-1.6292458,2.1854358,14.05433,0.58858967
159,-0.117998876,1.1829016,-0.8054261,1.4310721,14.05433,0.96150064
160,1.1593091,-2.391295,-0.8776952,2.547281,3.4990282,0.13921943
161,-0.21930954,-0.66819334,-0.14530933,0.6838107,3.4990282,0.6206419
162,0.91350377,-2.4383292,-0.028782725,2.438499,3.4990282,1.457681
163,1.0699474,-1.5642351,-1.8377026,2.413293,3.4990282,2.5952458
164,-1.1398582,2.391295,0.8776952,2.547281,0.13921943,3.4990282
165,-0.656203,1.7231016,0.7323859,1.8722897,0.13921943,0.6206419
166,0.056010257,-0.047034204,0.8489125,0.8502145,0.13921943,1.457681
167,-0.019147873,0.82705986,-0.9600074,1.2671394,0.13921943,2.5952458
168,0.21685717,0.66819334,0.14530933,0.6838107,0.6206419,3.4990282
169,0.663207,-1.7231016,-0.7323859,1.8722897,0.6206419,0.13921943
170,0.4686463,-1.7701359,0.1165266,1.7739671,0.6206419,1.457681
171,0.6407933,-0.89604175,-1.6923933,1.9149637,0.6206419,2.5952458
172,-0.8998005,2.4383292,0.028782725,2.438499,1.457681,3.4990282
173,-0.06121403,0.047034204,-0.8489125,0.8502145,1.457681,0.13921943
174,-0.4578588,1.7701359,-0.1165266,1.7739671,1.457681,0.6206419
175,0.14375454,0.8740941,-1.8089199,2.0090375,1.457681,2.5952458
176,-1.0434233,1.5642351,1.8377026,2.413293,2.5952458,3.4990282
177,0.022598773,-0.82705986,0.9600074,1.2671394,2.5952458,0.13921943
178,-0.62606454,0.89604175,1.6923933,1.9149637,2.5952458,0.6206419
179,-0.12734523,-0.8740941,1.8089199,2.0090375,2.5952458,1.457681
180,1.1084026,-1.8164265,-1.6236049,2.4362879,1.1053499,0.25202775
181,1.4094114,-2.1843805,-1.7713999,2.8123612,1.1053499,1.2992053
182,1.4260029,-2.4011629,-1.5111912,2.8371258,1.1053499,2.4010668
183,0.69318676,-0.8945082,-1.790753,2.0017345,1.1053499,0.7192739
184,-1.089835,1.8164265,1.6236049,2.4362879,0.25202775,1.1053499
