,e89,dx,dy,r,m1,m2
197,0.03396261,-0.9219184,0.16714811,0.93694824,0.7192739,0.25202775
198,-0.13130465,-1.2898724,0.019353151,1.2900176,0.7192739,1.2992053
199,-0.29716408,-1.5066547,0.27956176,1.5323718,0.7192739,2.4010668
200,-0.53956497,0.20734155,-0.21705642,0.3001733,1.963362,1.9471645
201,-0.14846288,0.46984267,-0.6537625,0.8050823,1.963362,0.7417685
202,-0.37610206,-0.89815044,1.1539696,1.4622996,1.963362,5.543755
203,0.009640572,0.46373534,0.8597388,0.9768323,1.963362,2.4276671
204,0.54511654,-0.20734155,0.21705642,0.3001733,1.9471645,1.963362
205,-0.3825128,0.26250112,-0.43670613,0.5095283,1.9471645,0.7417685
206,-0.60711503,-1.105492,1.3710262,1.7612,1.9471645,5.543755
207,-0.060407564,0.2563938,1.0767952,1.1068991,1.9471645,2.4276671
208,0.15235834,-0.46984267,0.6537625,0.8050823,0.7417685,1.963362
209,0.39131445,-0.26250112,0.43670613,0.5095283,0.7417685,1.9471645
210,-1.0239282,-1.3679931,1.8077322,2.2670026,0.7417685,5.543755
211,-0.3516191,-0.0061073303,1.5135014,1.5135137,0.7417685,2.4276671
212,0.3037634,0.89815044,-1.1539696,1.4622996,5.543755,1.963362
213,0.5014305,1.105492,-1.3710262,1.7612,5.543755,1.9471645
214,0.8404335,1.3679931,-1.8077322,2.2670026,5.543755,0.7417685
215,0.18542467,1.3618858,-0.29423088,1.3933071,5.543755,2.4276671
216,3.9767474e-07,-0.46373534,-0.8597388,0.9768323,2.4276671,1.963362
217,0.068066455,-0.2563938,-1.0767952,1.1068991,2.4276671,1.9471645
218,0.35626948,0.0061073303,-1.5135014,1.5135137,2.4276671,0.7417685
219,-0.22478792,-1.3618858,0.29423088,1.3933071,2.4276671,5.543755
220,2.0720415,-0.04151392,-4.061036,4.0612483,0.91513383,0.7152464
221,0.3248222,0.9387188,-1.0215322,1.3873432,0.91513383,0.5241416
222,0.09461704,-1.9821229,-1.5090064,2.4911668,0.91513383,4.745533
223,0.05542,-1.5564928,-1.156328,1.9390111,0.91513383,0.42257014
224,-2.0593739,0.04151392,4.061036,4.0612483,0.7152464,0.91513383
225,-1.1200055,0.9802327,3.039504,3.1936564,0.7152464,0.5241416
226,-1.7774701,-1.940609,2.5520298,3.20606,0.7152464,4.745533
227,-1.8299675,-1.5149789,2.9047084,3.2760482,0.7152464,0.42257014
228,-0.3083542,-0.9387188,1.0215322,1.3873432,0.5241416,0.91513383
229,1.1280954,-0.9802327,-3.039504,3.1936564,0.5241416,0.7152464
230,-0.6340809,-2.9208417,-0.4874742,2.9612408,0.5241416,4.745533
231,-0.6000569,-2.4952116,-0.13479578,2.4988499,0.5241416,0.42257014
232,-0.06580574,1.9821229,1.5090064,2.4911668,4.745533,0.91513383
233,1.5409296,1.940609,-2.5520298,3.20606,4.745533,0.7152464
234,0.52099967,2.9208417,0.4874742,2.9612408,4.745533,0.5241416
235,0.03984042,0.4256301,0.35267842,0.55275947,4.745533,0.42257014
236,-0.045025162,1.5564928,1.156328,1.9390111,0.42257014,0.91513383
237,1.8416007,1.5149789,-2.9047084,3.2760482,0.42257014,0.7152464
238,0.6148294,2.4952116,0.13479578,2.4988499,0.42257014,0.5241416
239,-0.033681042,-0.4256301,-0.35267842,0.55275947,0.42257014,4.745533
240,-0.86968184,-2.0985649,0.9077456,2.2864769,0.5861846,2.4545918
241,-0.7134068,-2.535517,0.0830667,2.5368774,0.5861846,1.166231
242,-1.2360426,-2.7467039,0.9813473,2.916749,0.5861846,1.1182036
243,-0.7226339,-2.5617864,0.076162815,2.5629184,0.5861846,1.3484592
244,0.8713318,2.0985649,-0.9077456,2.2864769,2.4545918,0.5861846
245,-0.0157159,-0.4369521,-0.8246789,0.93328583,2.4545918,1.166231
246,0.17480169,-0.648139,0.07360172,0.65230465,2.4545918,1.1182036
247,-0.008858336,-0.46322152,-0.8315828,0.951895,2.4545918,1.3484592
248,0.7173081,2.535517,-0.0830667,2.5368774,1.166231,0.5861846
249,0.025530696,0.4369521,0.8246789,0.93328583,1.166231,2.4545918
250,0.055280738,-0.21118689,0.8982806,0.9227719,1.166231,1.1182036
251,0.26043618,-0.026269414,-0.006903887,0.027161475,1.166231,1.3484592
252,1.2434864,2.7467039,-0.9813473,2.916749,1.1182036,0.5861846
253,-0.16718772,0.648139,-0.07360172,0.65230465,1.1182036,2.4545918
254,-0.046004206,0.21118689,-0.8982806,0.9227719,1.1182036,1.166231
255,-0.04366881,0.18491748,-0.9051845,0.92387956,1.1182036,1.3484592
256,0.7263807,2.5617864,-0.076162815,2.5629184,1.3484592,0.5861846
257,0.018331308,0.46322152,0.8315828,0.951895,1.3484592,2.4545918
258,-0.19256866,0.026269414,0.006903887,0.027161475,1.3484592,1.166231
259,0.052766327,-0.18491748,0.9051845,0.92387956,1.3484592,1.1182036
260,0.5194742,1.6682236,-0.6632442,1.7952334,3.2675312,0.21152598
261,-0.050480634,-0.030094147,1.0662928,1.0667174,3.2675312,1.6106896
262,-0.1966932,0.23899508,1.324635,1.3460225,3.2675312,0.38836706
263,-0.29631034,1.0175502,1.620189,1.9132226,3.2675312,3.3356476
264,-0.52987677,-1.6682236,0.6632442,1.7952334,0.21152598,3.2675312
265,-1.1337559,-1.6983178,1.7295369,2.4239597,0.21152598,1.6106896
266,-1.1759214,-1.4292285,1.9878793,2.4483378,0.21152598,0.38836706
267,-1.0726991,-0.6506734,2.283433,2.3743298,0.21152598,3.3356476
268,0.058788866,0.030094147,-1.0662928,1.0667174,1.6106896,3.2675312
269,1.137261,1.6983178,-1.7295369,2.4239597,1.6106896,0.21152598
270,0.09419537,0.26908922,0.2583423,0.37302783,1.6106896,0.38836706
271,0.02047795,1.0476444,0.5538962,1.1850568,1.6106896,3.3356476
272,0.21487488,-0.23899508,-1.324635,1.3460225,0.38836706,3.2675312
273,1.181869,1.4292285,-1.9878793,2.4483378,0.38836706,0.21152598
274,-0.09143913,-0.26908922,-0.2583423,0.37302783,0.38836706,1.6106896
275,-0.024905957,0.77855515,0.29555386,0.8327666,0.38836706,3.3356476
276,0.31363648,-1.0175502,-1.620189,1.9132226,3.3356476,3.2675312
277,1.0362184,0.6506734,-2.283433,2.3743298,3.3356476,0.21152598
278,-0.009415045,-1.0476444,-0.5538962,1.1850568,3.3356476,1.6106896
279,0.027402204,-0.77855515,-0.29555386,0.8327666,3.3356476,0.38836706
280,0.08550906,-0.32379174,0.83090144,0.89176136,0.22308534,1.708205
281,-0.36160666,-0.08237696,-0.27588266,0.28791875,0.22308534,0.2767991
282,-0.15332615,1.2484148,1.3229305,1.8189789,0.22308534,0.8997595
283,0.4772967,1.1636488,-1.0858822,1.5916089,0.22308534,2.7875044
284,-0.07228753,0.32379174,-0.83090144,0.89176136,1.708205,0.22308534
285,0.11153969,0.24141479,-1.1067841,1.1328071,1.708205,0.2767991
286,0.14553632,1.5722065,0.49202904,1.6473997,1.708205,0.8997595
287,1.1529336,1.4874406,-1.9167836,2.426219,1.708205,2.7875044
288,0.37100515,0.08237696,0.27588266,0.28791875,0.2767991,0.22308534
289,-0.10477128,-0.24141479,1.1067841,1.1328071,0.2767991,1.708205
290,-0.25594437,1.3307917,1.598813,2.0801945,0.2767991,0.8997595
291,0.3719095,1.2460258,-0.80999947,1.4861627,0.2767991,2.7875044
292,0.16344395,-1.2484148,-1.3229305,1.8189789,0.8997595,0.22308534
293,-0.13629766,-1.5722065,-0.49202904,1.6473997,0.8997595,1.708205
294,0.26651418,-1.3307917,-1.598813,2.0801945,0.8997595,0.2767991
295,0.9435883,-0.08476591,-2.4088125,2.4103036,0.8997595,2.7875044
296,-0.45625842,-1.1636488,1.0858822,1.5916089,2.7875044,0.22308534
297,-1.1280485,-1.4874406,1.9167836,2.426219,2.7875044,1.708205
298,-0.35533902,-1.2460258,0.80999947,1.4861627,2.7875044,0.2767991
299,-0.90666664,0.08476591,2.4088125,2.4103036,2.7875044,0.8997595
300,0.11760395,1.4902978,0.49671125,1.5708945,1.0847111,0.2863274
301,0.10519765,1.4723499,0.5481006,1.5710597,1.0847111,0.2559677
302,0.31432605,-0.038033724,0.55296326,0.55426973,1.0847111,0.25754076
303,0.13376178,-0.19816315,-1.1939886,1.2103212,1.0847111,1.5997808
304,-0.11476501,-1.4902978,-0.49671125,1.5708945,0.2863274,1.0847111
305,0.744996,-0.017947912,0.051389337,0.054433364,0.2863274,0.2559677
306,-0.24881265,-1.5283315,0.056252003,1.5293664,0.2863274,0.25754076
307,0.23814899,-1.688461,-1.6906998,2.3894281,0.2863274,1.5997808
308,-0.09897578,-1.4723499,-0.5481006,1.5710597,0.2559677,1.0847111
309,-0.73787093,0.017947912,-0.051389337,0.054433364,0.2559677,0.2863274
310,-0.2277849,-1.5103836,0.004862666,1.5103914,0.2559677,0.25754076
311,0.26660043,-1.670513,-1.7420892,2.413605,0.2559677,1.5997808
312,-0.30229115,0.038033724,-0.55296326,0.55426973,0.25754076,1.0847111
313,0.25383198,1.5283315,-0.056252003,1.5293664,0.25754076,0.2863274
314,0.23532353,1.5103836,-0.004862666,1.5103914,0.25754076,0.2559677
315,0.49049926,-0.16012943,-1.7469518,1.7542753,0.25754076,1.5997808
316,-0.12613449,0.19816315,1.1939886,1.2103212,1.5997808,1.0847111
317,-0.23000306,1.688461,1.6906998,2.3894281,1.5997808,0.2863274
318,-0.25561023,1.670513,1.7420892,2.413605,1.5997808,0.2559677
319,-0.47895533,0.16012943,1.7469518,1.7542753,1.5997808,0.25754076
320,-0.22227141,0.5968158,-0.21542001,0.63450366,0.77244407,0.14444919
321,0.39557856,0.055032015,0.13704383,0.14768052,0.77244407,0.15126254
322,0.13283534,-0.7430408,0.086945295,0.74811035,0.77244407,0.9052063
323,-0.28809634,-0.067276716,1.4064794,1.4080875,0.77244407,3.8229337
324,0.23316276,-0.5968158,0.21542001,0.63450366,0.14444919,0.77244407
325,0.25468946,-0.5417838,0.35246384,0.6463439,0.14444919,0.15126254
326,-0.22064583,-1.3398566,0.3023653,1.3735503,0.14444919,0.9052063
327,-0.6042109,-0.66409254,1.6218994,1.7525914,0.14444919,3.8229337
328,-0.38274735,-0.055032015,-0.13704383,0.14768052,0.15126254,0.77244407
329,-0.24829823,0.5417838,-0.35246384,0.6463439,0.15126254,0.14444919
330,0.082991615,-0.7980728,-0.05009854,0.79964375,0.15126254,0.9052063
331,-0.20021737,-0.12230873,1.2694355,1.2753141,0.15126254,3.8229337
332,-0.117432095,0.7430408,-0.086945295,0.74811035,0.9052063,0.77244407
333,0.22460872,1.3398566,-0.3023653,1.3735503,0.9052063,0.14444919
334,-0.07382351,0.7980728,0.05009854,0.79964375,0.9052063,0.15126254
335,-0.19407842,0.6757641,1.3195341,1.4825071,0.9052063,3.8229337
336,0.2778851,0.067276716,-1.4064794,1.4080875,3.8229337,0.77244407
337,0.57023036,0.66409254,-1.6218994,1.7525914,3.8229337,0.14444919
338,0.19604976,0.12230873,-1.2694355,1.2753141,3.8229337,0.15126254
339,0.19466917,-0.6757641,-1.3195341,1.4825071,3.8229337,0.9052063
340,-0.23123702,0.4586358,-0.52572393,0.6976622,0.68077904,6.729475
341,0.16333997,0.4376819,-1.1074933,1.1908429,0.68077904,0.98673713
342,-0.15647982,0.6980922,-0.19926688,0.7259753,0.68077904,1.173455
343,0.9911822,1.4315288,-1.6988245,2.2215488,0.68077904,2.334228
344,0.17175275,-0.4586358,0.52572393,0.6976622,6.729475,0.68077904
345,-0.2035547,-0.020953894,-0.58176935,0.5821466,6.729475,0.98673713
346,0.14940603,0.23945642,0.32645708,0.40486246,6.729475,1.173455
347,0.30629042,0.972893,-1.1731006,1.524036,6.729475,2.334228
348,-0.15462482,-0.4376819,1.1074933,1.1908429,0.98673713,0.68077904
349,0.2708911,0.020953894,0.58176935,0.5821466,0.98673713,6.729475
350,0.031537704,0.2604103,0.90822643,0.9448221,0.98673713,1.173455
351,0.12550065,0.9938469,-0.59133124,1.156462,0.98673713,2.334228
352,0.16929513,-0.6980922,0.19926688,0.7259753,1.173455,0.68077904
353,-0.16194272,-0.23945642,-0.32645708,0.40486246,1.173455,6.729475
