,e62,dx,dy,r,m1,m2
88,9.403845e-06,0.25148964,-0.038588285,0.2544329,0.8905651,0.34955072
89,9.403845e-06,-1.8768947,-0.17956823,1.885465,0.8905651,4.3770914
90,9.403845e-06,-1.1990645,-0.15320945,1.208813,0.8905651,0.1433743
91,9.403845e-06,-1.0761383,0.8082385,1.345854,0.8905651,2.450741
92,9.403845e-06,1.4505541,0.11462116,1.4550757,0.1433743,0.34955072
93,9.403845e-06,-0.6778302,-0.026358783,0.6783425,0.1433743,4.3770914
94,9.403845e-06,1.1990645,0.15320945,1.208813,0.1433743,0.8905651
95,9.403845e-06,0.122926235,0.96144795,0.96927446,0.1433743,2.450741
96,9.403845e-06,1.3276279,-0.8468268,1.57471,2.450741,0.34955072
97,9.403845e-06,-0.80075645,-0.98780674,1.2716025,2.450741,4.3770914
98,9.403845e-06,1.0761383,-0.8082385,1.345854,2.450741,0.8905651
99,9.403845e-06,-0.122926235,-0.96144795,0.96927446,2.450741,0.1433743
100,9.403845e-06,-1.3573538,1.4337654,1.9743588,2.8423243,0.45012483
101,0.8195953,-1.3144332,1.7295407,2.1723363,2.8423243,0.4604732
102,1.3542613,-0.8788332,3.185775,3.3047707,2.8423243,2.4460523
103,0.70645016,-0.554303,2.2036238,2.2722697,2.8423243,5.7326517
104,9.403845e-06,1.3573538,-1.4337654,1.9743588,0.45012483,2.8423243
105,9.403845e-06,0.042920582,0.2957753,0.29887322,0.45012483,0.4604732
106,9.403845e-06,0.47852066,1.7520095,1.8161826,0.45012483,2.4460523
107,9.403845e-06,0.8030508,0.76985824,1.1124623,0.45012483,5.7326517
108,-0.0014656434,1.3144332,-1.7295407,2.1723363,0.4604732,2.8423243
109,9.403845e-06,-0.042920582,-0.2957753,0.29887322,0.4604732,0.45012483
110,9.403845e-06,0.4356001,1.4562342,1.5199887,0.4604732,2.4460523
111,9.403845e-06,0.7601302,0.47408295,0.895853,0.4604732,5.7326517
112,0.020432308,0.8788332,-3.185775,3.3047707,2.4460523,2.8423243
113,9.403845e-06,-0.47852066,-1.7520095,1.8161826,2.4460523,0.45012483
114,9.403845e-06,-0.4356001,-1.4562342,1.5199887,2.4460523,0.4604732
115,9.403845e-06,0.32453015,-0.98215127,1.0343795,2.4460523,5.7326517
116,-0.058532383,0.554303,-2.2036238,2.2722697,5.7326517,2.8423243
117,9.403845e-06,-0.8030508,-0.76985824,1.1124623,5.7326517,0.45012483
118,9.403845e-06,-0.7601302,-0.47408295,0.895853,5.7326517,0.4604732
119,9.403845e-06,-0.32453015,0.98215127,1.0343795,5.7326517,2.4460523
120,0.36023492,-2.1403437,-0.2170364,2.1513195,2.6446233,1.5454042
121,9.403845e-06,-1.4744556,0.2917513,1.5030429,2.6446233,0.35976517
122,9.403845e-06,-1.8136903,0.37818828,1.8527005,2.6446233,1.6425202
123,0.086769104,-1.8596113,-1.1753006,2.199883,2.6446233,0.56675494
124,-0.049674775,2.1403437,0.2170364,2.1513195,1.5454042,2.6446233
125,9.403845e-06,0.6658881,0.5087877,0.83801657,1.5454042,0.35976517
