,e35,dx,dy,r,m1,m2
47,4.0762525,-0.7191863,-0.07998574,0.72362053,3.0384762,8.551413
48,0.12092316,-0.60797447,0.32540023,0.68957835,1.662828,0.40386572
49,0.0050219237,0.09203458,-2.7748103,2.7763362,1.662828,0.4336598
50,-0.09954306,1.9882686,-3.3752062,3.9172988,1.662828,4.786071
51,-0.6221564,0.60797447,-0.32540023,0.68957835,0.40386572,1.662828
52,-0.00228813,0.70000905,-3.1002107,3.1782572,0.40386572,0.4336598
53,-0.12360582,2.596243,-3.7006063,4.520505,0.40386572,4.786071
54,0.0009732123,-0.09203458,2.7748103,2.7763362,0.4336598,1.662828
55,-0.0014451356,-0.70000905,3.1002107,3.1782572,0.4336598,0.40386572
56,-0.7305923,1.896234,-0.6003959,1.9890145,0.4336598,4.786071
57,-0.00023146998,-1.9882686,3.3752062,3.9172988,4.786071,1.662828
58,-9.298581e-05,-2.596243,3.7006063,4.520505,4.786071,0.40386572
59,0.06275792,-1.896234,0.6003959,1.9890145,4.786071,0.4336598
60,0.126905,-1.7757438,-0.9037186,1.9924792,0.8145499,0.8729652
61,0.13595591,-3.3706717,0.3128302,3.3851576,0.8145499,1.2932022
62,0.11182319,-2.136732,0.21833158,2.1478577,0.8145499,0.6769801
63,-0.12516281,1.7757438,0.9037186,1.9924792,0.8729652,0.8145499
64,0.066016816,-1.5949279,1.2165488,2.0059378,0.8729652,1.2932022
65,-0.0023280266,-0.36098832,1.1220502,1.1786896,0.8729652,0.6769801
66,-0.08359139,3.3706717,-0.3128302,3.3851576,1.2932022,0.8145499
67,-0.09068455,1.5949279,-1.2165488,2.0059378,1.2932022,0.8729652
68,-0.1921551,1.2339395,-0.094498634,1.2375528,1.2932022,0.6769801
69,-0.13199827,2.136732,-0.21833158,2.1478577,0.6769801,0.8145499
70,-0.01175919,0.36098832,-1.1220502,1.1786896,0.6769801,0.8729652
71,0.3689474,-1.2339395,0.094498634,1.2375528,0.6769801,1.2932022
72,0.00055374263,-0.7781051,1.3943559,1.5967705,6.3504725,1.4250805
73,-0.003503025,0.9291391,2.6062937,2.7669597,6.3504725,0.952377
74,0.010540789,-0.91973823,0.904554,1.2900141,6.3504725,0.47495693
75,-0.3023286,0.7781051,-1.3943559,1.5967705,1.4250805,6.3504725
76,-0.10458848,1.7072442,1.2119377,2.0936751,1.4250805,0.952377
